symbol,scale,bin,n_windows,mean_q,mean_r,ci_lo,ci_hi,sd_r,frac_zero_r,mean_duration_s,interior_bin
BTCUSDT,N=25,0,155552.0,-13.524499247839964,-1.8671388934793013e-6,-2.5153280073373494e-6,-1.2519997917663184e-6,0.00010982302219652811,0.3902232051018309,0.20453191215804778,false
BTCUSDT,N=25,1,233260.0,-5.337866350853125,-4.6583440764145914e-6,-5.198403002260553e-6,-4.212299162515942e-6,0.00008149296403648688,0.30463860070307813,0.275323158706894,false
BTCUSDT,N=25,2,388911.0,-3.707081640786708,-6.085163921419945e-6,-6.566824404019803e-6,-5.664933791077552e-6,0.0000811160233000297,0.2502911977290434,0.3391888426914982,false
BTCUSDT,N=25,3,777427.0,-2.5461468047803817,-7.871184234636461e-6,-8.345226300903525e-6,-7.435311485862822e-6,0.00006289368177437176,0.21375769043267084,0.41883748570572765,false
BTCUSDT,N=25,4,1555759.0,-1.5729111655468497,-9.62039247659618e-6,-0.000010163595892223127,-9.147533865857669e-6,0.00005550627328997795,0.1894766477327144,0.5160225201981423,true
BTCUSDT,N=25,5,2332423.0,-0.8666066892669136,-0.000011638895501078694,-0.000012185949151565899,-0.000011137776520447744,0.00004910952119172788,0.16797167580666114,0.610843668151366,true
BTCUSDT,N=25,6,2333325.0,-0.4631938444065878,-0.000014843608012412273,-0.000015511582996396735,-0.000014222897666860058,0.000035791058088343675,0.13647477312418974,0.607682753152999,true
BTCUSDT,N=25,7,3091504.0,-0.23483320028051002,-0.000019315204530661603,-0.000020050760004143704,-0.00001859032334695722,0.000029545486193533515,0.09720414400240142,0.5244532295606866,true
BTCUSDT,N=25,8,3131259.0,-0.10098827532312078,-0.00002509030938920323,-0.00002594117472859838,-0.00002416745763881639,0.00002557421799334833,0.05853045053123999,0.3773959001799119,true
BTCUSDT,N=25,9,3108438.0,0.002290638899666018,9.60471008771674e-7,7.914519328147378e-7,1.1259194422717696e-6,0.00003691384020597147,0.08041627338232257,0.5101022362354614,false
BTCUSDT,N=25,10,3113748.0,0.10301712213062869,0.000024777326192666977,0.000023827888677332773,0.00002567731912844888,0.00002629021908565193,0.058154031732818454,0.3827162172409073,true
BTCUSDT,N=25,11,3109990.0,0.23741046305615085,0.000018980329458692896,0.00001825505095295179,0.000019691143101797286,0.00002870159334340912,0.09862571905375901,0.5317552963191597,true
BTCUSDT,N=25,12,2329461.0,0.4668981416731165,0.000014602716314216796,0.000013989926375968578,0.000015262468585300794,0.00003658667150176956,0.14004398442386456,0.6155584626661276,true
BTCUSDT,N=25,13,2338144.0,0.8715148895876391,0.000011465016289631093,0.000010934279747255047,0.000012030892793731451,0.000041555495899074453,0.1732630667743304,0.612484823005111,true
BTCUSDT,N=25,14,1554980.0,1.579817353920949,9.533430028371455e-6,9.06214490193881e-6,0.00001004026079448339,0.00005651142721063409,0.19445073248530528,0.5117476507742534,true
BTCUSDT,N=25,15,778112.0,2.554005172777185,7.78703918991916e-6,7.4195462493148475e-6,8.180259624758329e-6,0.000058786115017248014,0.21809713768711958,0.4119201194683097,false
